job_title,skills
Audio Designer,"Audio Editing Software, Recording Equipment, Auditory Aesthetics"
Sound Engineer,"Audio Editing Software, Recording Equipment, Auditory Aesthetics"
Acoustic Designer,"Audio Editing Software, Recording Equipment, Auditory Aesthetics"
Systems Developer,"Software Testing, Python, JavaScript, Debugging, CI/CD, Git, SQL, Version Control"
UI/UX Designer,"Typography, Color Theory, User Interface Design, Prototyping Tools, HTML, CSS, User Research, Wireframing, Prototyping, Usability Testing, User Empathy, Product Design"
Product UI/UX Designer,"Typography, Color Theory, User Interface Design, Prototyping Tools, HTML, CSS, User Research, Wireframing, Prototyping, Usability Testing, User Empathy, Product Design"
User Experience Specialist,"Typography, Color Theory, User Interface Design, Prototyping Tools, HTML, CSS, User Research, Wireframing, Prototyping, Usability Testing, User Empathy, Product Design"
User Experience (UX) Designer,"User Research, Wireframing, Prototyping, Usability Testing, User Empathy"
Experience Architect,"User Research, Wireframing, Prototyping, Usability Testing, User Empathy"
User Centered Designer,"User Research, Wireframing, Prototyping, Usability Testing, User Empathy"
Usability Designer,"User Research, Wireframing, Prototyping, Usability Testing, User Empathy"
User Interface (UI) Designer,"Typography, Color Theory, User Interface Design, Prototyping Tools, HTML, CSS"
Interface Designer,"Typography, Color Theory, User Interface Design, Prototyping Tools, HTML, CSS"
Digital Designer,"Typography, Color Theory, User Interface Design, Prototyping Tools, HTML, CSS"
Screen Designer,"Typography, Color Theory, User Interface Design, Prototyping Tools, HTML, CSS"
UX Writer,"Copywriting, User Empathy, User Interface Design, UX Design Principles, Content Strategy"
Content Designer,"Copywriting, User Empathy, User Interface Design, UX Design Principles, Content Strategy"
UI Copywriter,"Copywriting, User Empathy, User Interface Design, UX Design Principles, Content Strategy"
User Interface Writer,"Copywriting, User Empathy, User Interface Design, UX Design Principles, Content Strategy"
UX/UI Developer,"HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, User Interface Design, User Testing, User Personas, UX Research, JavaScript Frameworks, JQuery, Web Accessibility, UX Design Principles"
UX Architect,"HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, User Interface Design, User Testing, User Personas, UX Research, JavaScript Frameworks, JQuery, Web Accessibility, UX Design Principles"
UX Product Manager,"HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, User Interface Design, User Testing, User Personas, UX Research, JavaScript Frameworks, JQuery, Web Accessibility, UX Design Principles"
UX Analyst,"HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, User Interface Design, User Testing, User Personas, UX Research, JavaScript Frameworks, JQuery, Web Accessibility, UX Design Principles"
"Visual Designer,","HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, User Interface Design, User Testing, User Personas, UX Research, JavaScript Frameworks, JQuery, Web Accessibility, UX Design Principles"
Virtual Reality (VR) Designer,"3D modeling, User-Centered Design, VR Platform Knowledge, Spatial Design"
VR Artist,"3D modeling, User-Centered Design, VR Platform Knowledge, Spatial Design"
VR Experience Designer,"3D modeling, User-Centered Design, VR Platform Knowledge, Spatial Design"
VR Content Designer,"3D modeling, User-Centered Design, VR Platform Knowledge, Spatial Design"
Visual Designer,"Graphic design, Color Theory, User Interface Design, Branding"
Visual Graphic Designer,"Graphic design, Color Theory, User Interface Design, Branding"
Digital Visual Designer,"Graphic design, Color Theory, User Interface Design, Branding"
Web Designer,"HTML, CSS, JavaScript, Responsive Design, SEO Basics"
Website Designer,"HTML, CSS, JavaScript, Responsive Design, SEO Basics"
Web Graphic Designer,"HTML, CSS, JavaScript, Responsive Design, SEO Basics"
Frontend Engineer,"HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, Python, Application frameworks, Databases, Front-End Frameworks, Version Control"
Web Development Specialist,"HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, Python, Application frameworks, Databases, Front-End Frameworks, Version Control"
Frontend Developer,"HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, Python, Application frameworks, Databases, Front-End Frameworks, Version Control"
"Web Application Developer,","HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, Python, Application frameworks, Databases, Front-End Frameworks, Version Control"
